Metric,"Model (levels, base->max channels)",6h PM1,6h PM2.5,6h PM10,12h PM1,12h PM2.5,12h PM10,24h PM1,24h PM2.5,24h PM10
CRMSE,"3, 16->64",3.570958977,4.914821558,23.39290472,3.748194868,7.198323709,30.84148293,3.862293225,6.32201881,26.6704899
CRMSE,"3, 32->128",3.176988564,4.756933751,23.95600427,4.405203481,7.397671241,29.76547931,4.024601088,6.483128285,27.2511805
CRMSE,"4, 16->128",3.075815652,5.1752323,23.88298445,3.966816104,7.529220137,33.4116383,3.93275355,6.523066469,26.93698745
CRMSE,"5, 2->32",3.593537502,6.122620008,31.62569549,4.392400483,8.868522897,39.41763324,4.784832534,7.971659513,31.81965257
CRMSE,"5, 4->64",3.462076443,5.843481304,27.09719337,4.05397302,8.449509928,35.92987794,4.292862175,7.241886611,30.30023407
CRMSE,"5, 8->128",3.264519913,5.382266719,26.18996735,3.838824392,8.317720776,32.54879641,3.957417348,6.842481873,27.56455375
CRMSE,"5, 16->256 (U-Net w/o Nesting)",4.8,5.8,24.7,4.5,8.4,35.4,4.8,7.7,28.4
CRMSE,"5, 16->256 (Proposed U-Net)",3.2,5.2,23.3,3.2,5.7,32.6,3.3,6.5,30.9
CRMSE,Persistence (Repetition Baseline),3.4,6,30.2,4.2,8.8,40.2,4.3,7.8,31.5
CRMSE,Aurora (Foundational Model),4.7,7.4,36.4,3,6.5,28,3.4,6.1,25.9
CRMSE,"5, 32->512",3.20097258,5.369118511,21.60455416,3.733470215,6.982543378,29.82211169,4.180400545,6.48502489,27.32232646
CRMSE,"6, 8->256",3.418452892,5.834955925,25.93592492,4.247670461,7.923719834,32.7202123,4.1750654,7.440317679,31.43425092
CRMSE,"6, 16->512",3.131274924,5.22204581,22.76936698,3.857804778,7.898640014,31.37420909,3.845024674,6.64996768,26.76217724
CRMSE,"7, 8->512",3.101390001,5.405082939,24.59876277,3.910549996,7.776809369,35.08779046,3.87097619,6.80591765,27.83163288
CRMSE,"7, 16->1024",3.257382756,5.199161292,24.79268883,3.754706406,7.881455227,30.77074832,3.888017037,6.569612185,27.96321902
RMSE,"3, 16->64",3.589664601,4.923054561,23.40104361,3.751651403,7.217277351,30.8627207,3.863357744,6.349688696,26.70615232
RMSE,"3, 32->128",3.17869796,4.763526467,23.96224641,4.406502824,7.420897218,29.79657536,4.02576546,6.50115806,27.2858654
RMSE,"4, 16->128",3.077159086,5.179819203,23.88926015,3.968552569,7.540038689,33.43140117,3.978888949,6.540878803,26.98076664
RMSE,"5, 2->32",3.59476702,6.123944003,31.64082841,4.394009123,8.870214292,39.44504412,4.789597404,7.98086796,31.83749399
RMSE,"5, 4->64",3.470237341,5.847880933,27.11407856,4.056271718,8.454148311,35.937753,4.295013321,7.25213895,30.31892817
RMSE,"5, 8->128",3.278345326,5.397140941,26.20428635,3.841932867,8.329314998,32.55621341,3.98026684,6.858643323,27.59524499
RMSE,"5, 16->256 (U-Net w/o Nesting)",4.8,5.8,24.7,4.5,8.4,35.4,4.9,7.8,28.5
RMSE,"5, 16->256 (Proposed U-Net)",3.2,5.2,23.3,3.2,5.8,32.6,3.3,6.5,30.9
RMSE,Persistence (Repetition Baseline),3.4,6,30.2,4.2,8.8,40.2,4.3,7.8,31.5
RMSE,Aurora (Foundational Model),8.3,7.5,39.8,3.1,7.1,28.5,3.4,7.1,26.7
RMSE,"5, 32->512",3.202577384,5.375324221,21.61294491,3.739066188,7.003546649,29.86203333,4.195639255,6.525401766,27.36367113
RMSE,"6, 8->256",3.422510098,5.84417491,25.93893996,4.251871725,7.928889401,32.7305794,4.176066998,7.447684398,31.44830476
RMSE,"6, 16->512",3.133112057,5.226824346,22.77754615,3.864735332,7.91005319,31.39020554,3.85278081,6.671431982,26.79956326
RMSE,"7, 8->512",3.10924292,5.410524494,24.60512919,3.914327352,7.802744866,35.11902903,3.87888775,6.823496242,27.86610327
RMSE,"7, 16->1024",3.267095288,5.203548378,24.79806177,3.756183256,7.894091999,30.78933279,3.890217093,6.601862023,28.03453242
SSIM,"3, 16->64",0.982103286,0.9807826662,0.9927343075,0.9777821373,0.9843180352,0.9915406553,0.9832401058,0.9720616048,0.9897683925
SSIM,"3, 32->128",0.9832296823,0.9818089961,0.9922280894,0.9812040345,0.9820136527,0.992644789,0.9806937269,0.9719756722,0.9895081637
SSIM,"4, 16->128",0.9794265064,0.9783530388,0.9926724506,0.9773378241,0.9822257277,0.9904448651,0.9823062611,0.970330645,0.9890956457
SSIM,"5, 2->32",0.9784131944,0.9739289163,0.9894177455,0.9739537296,0.9745007561,0.9885710788,0.9780464193,0.9598649106,0.9866070127
SSIM,"5, 4->64",0.9810896488,0.9747687244,0.9903477182,0.9754619134,0.9784861655,0.9889247995,0.9813180557,0.9657576915,0.987719486
SSIM,"5, 8->128",0.9813777383,0.9765697457,0.9917932564,0.9785503891,0.9815633374,0.9902284315,0.9795751205,0.9681480133,0.9888879811
SSIM,"5, 16->256 (U-Net w/o Nesting)",0.97,0.97,0.99,0.97,0.97,0.99,0.97,0.96,0.99
SSIM,"5, 16->256 (Proposed U-Net)",0.98,0.98,0.99,0.98,0.97,0.99,0.98,0.97,0.99
SSIM,Persistence (Repetition Baseline),0.95,0.94,0.98,0.94,0.94,0.97,0.93,0.9,0.96
SSIM,Aurora (Foundational Model),0.7,0.93,0.96,0.97,0.97,0.98,0.94,0.89,0.96
SSIM,"5, 32->512",0.9835192629,0.9794929443,0.9935815253,0.9778958462,0.9847642906,0.9923186483,0.9793084473,0.971197678,0.989188927
SSIM,"6, 8->256",0.9810223273,0.9762538146,0.9918959115,0.9793779393,0.9803601356,0.990434845,0.9813881347,0.9709176205,0.988494267
SSIM,"6, 16->512",0.9797454703,0.977896634,0.9932331686,0.9768705743,0.9802649889,0.9916348156,0.9826689448,0.9673448349,0.9890678829
SSIM,"7, 8->512",0.9805539644,0.9749900989,0.9924322486,0.9780290437,0.9811514254,0.9906710045,0.9823712387,0.9676478291,0.9877654135
SSIM,"7, 16->1024",0.9811491842,0.9789705351,0.9921270231,0.976625153,0.9799913515,0.9919497171,0.9807565805,0.9705850617,0.9885691812
