target,timestamp,crmse,rmse,ssim
pm1,00,4.111080900153193e-09,4.114592614611284e-09,0.9818088968728803
pm2p5,00,7.734678879549567e-09,7.75723946035897e-09,0.9806724132616207
pm10,00,2.8997799697711006e-08,2.9035105260227406e-08,0.9898273690350392
pm1,06,3.301656920547194e-09,3.3047813910023283e-09,0.9865732323067724
pm2p5,06,6.410935843127614e-09,6.424065149430601e-09,0.9757836668426115
pm10,06,2.947507766037531e-08,2.949865679347493e-08,0.9884431452673201
pm1,12,3.3008625463212103e-09,3.3106938969651656e-09,0.9834369282624531
pm2p5,12,6.539382679828715e-09,6.5547231204473224e-09,0.973303915038565
pm10,12,3.0939317147211165e-08,3.0986091870491746e-08,0.9903699248492203
pm1,18,3.144624309037145e-09,3.145400140808182e-09,0.9854012353283392
pm2p5,18,7.68030381266735e-09,7.69382464421093e-09,0.9834471092160851
pm10,18,3.4627068756364534e-08,3.465687369500464e-08,0.9906053960763046
pm1,x,3.4645561690146856e-09,3.46886701084674e-09,0.9843050731926113
pm2p5,x,7.091325303793311e-09,7.107463093611956e-09,0.9783017760897206
pm10,x,3.10098158154155e-08,3.104418190479968e-08,0.9898114588069711
